iter	F1	Logloss
0	0.8397657689	0.4913144725
1	0.8655536276	0.3780558708
2	0.8785731462	0.3062710618
3	0.8943669183	0.2631765434
4	0.9099029423	0.2325644556
5	0.9159325153	0.211835893
6	0.9207545553	0.1944544662
7	0.9267626173	0.180836627
8	0.9316359458	0.1687608395
9	0.937646553	0.1592270376
10	0.9410370027	0.150999838
11	0.9437828856	0.1441263498
12	0.9463975119	0.1386768274
13	0.9492777678	0.1338431366
14	0.9505835534	0.1287343374
15	0.9526030755	0.1247345335
16	0.9538654086	0.120807974
17	0.9562377848	0.1173826695
18	0.9575172422	0.1144064619
19	0.9578548009	0.1115056296
20	0.9587941221	0.108855809
21	0.9605437977	0.1061357577
22	0.9623923714	0.1034596691
23	0.9635380764	0.1014986816
24	0.9642897069	0.0991020155
25	0.9658189327	0.09689184383
26	0.9672845152	0.09494639709
27	0.9681810776	0.09333211233
28	0.9694348954	0.0916342992
29	0.9703365315	0.09008048923
30	0.970849222	0.0886410874
31	0.971899254	0.08732273249
32	0.9729046395	0.08569978282
33	0.9738179893	0.08442501973
34	0.9740616326	0.08332965479
35	0.975218637	0.08211604975
36	0.9758431745	0.08094417052
37	0.9759037955	0.07960244637
38	0.976464333	0.07842176601
39	0.9767330122	0.07742359654
40	0.9773251957	0.07641098601
41	0.9777148157	0.0755464118
42	0.9784859458	0.07471177488
43	0.9787329774	0.07402493431
44	0.9791507968	0.07309332409
45	0.979629774	0.0721321844
46	0.9800134323	0.07130108125
47	0.9803494824	0.07053620456
48	0.9808944685	0.06977922895
49	0.9816772987	0.06925273525
50	0.9819403083	0.06864704112
51	0.9822669542	0.06788712334
52	0.982368075	0.06723156269
53	0.9823705039	0.0665362247
54	0.9828011594	0.06577686245
55	0.9833351298	0.06533957833
56	0.9832595532	0.06472137499
57	0.9833569267	0.06421936819
58	0.9835653496	0.06367417049
59	0.9839991142	0.06303992148
60	0.9840707541	0.06248647789
61	0.9843260563	0.06197435052
62	0.9845226058	0.06147844698
63	0.9847083277	0.06090853483
64	0.9848158128	0.06045763251
65	0.9849101066	0.05994007032
66	0.9853248097	0.05955641054
67	0.9856004975	0.05919538579
68	0.9860294359	0.05868797076
69	0.9860706245	0.05826658465
70	0.9861614763	0.05782316698
71	0.9861772091	0.05737094424
72	0.9862974388	0.05683713427
73	0.9862528883	0.05646370781
74	0.9866304806	0.05607509269
75	0.9870119003	0.05564600046
76	0.9872124749	0.05528132707
77	0.9874622013	0.05493766629
78	0.9873560677	0.05454771212
79	0.9876249604	0.05423684992
80	0.9878376319	0.05384443643
81	0.9877578821	0.05351103956
82	0.9878698994	0.0532028931
83	0.9879499358	0.05291606892
84	0.988130227	0.05255437368
85	0.9883522286	0.0522814848
86	0.9884180032	0.0519001165
87	0.9884786984	0.05159118261
88	0.9887449197	0.05133829451
89	0.9888320204	0.0508662132
90	0.9887574018	0.05055998498
91	0.9889435293	0.05029029261
92	0.9891335499	0.05004090594
93	0.9890536333	0.0497558102
94	0.9892498798	0.04955446748
95	0.989270745	0.04922494119
96	0.9894176893	0.04900160631
97	0.9895400487	0.04875528634
98	0.9896237567	0.04846842038
99	0.9897971368	0.04825741688
100	0.9898128222	0.0480089658
101	0.9898548519	0.04775791481
102	0.9898282017	0.04748894176
103	0.9899267864	0.04725084789
104	0.990001552	0.04709819469
105	0.9899718855	0.04687650207
106	0.9901338172	0.04667221445
107	0.9902385308	0.04645392846
108	0.9902540628	0.04620765089
109	0.9902187211	0.04596808039
110	0.9902967662	0.04576490563
111	0.9903628693	0.04547773889
112	0.990503015	0.04525224775
113	0.9904906831	0.04506046331
114	0.9904407289	0.04482889219
115	0.9905986604	0.04468268629
116	0.9907065138	0.04445065387
117	0.9907660178	0.04431025368
118	0.9907423153	0.04410517852
119	0.9909341766	0.04394197088
120	0.9910297447	0.04372794468
121	0.9910833346	0.04354000978
122	0.9912078929	0.04332062921
123	0.991155036	0.04308398604
